disease_id,disease_name,drug_node_id,drugbank_id,drug_name,species,evidence_level,is_standard_of_care,pmid,pubmed_url,url,source_name,note
455,Asthma,401,DB01001,salbutamol (albuterol),cat,review,True,,,https://todaysveterinarypractice.com/respiratory-medicine/asthma-in-cats-management-guidelines/,Asthma in Cats: Management Guidelines (Today's Veterinary Practice),Metered-dose inhaled albuterol/salbutamol is the standard rescue bronchodilator for acute bronchoconstriction episodes in feline asthma (limited to acute use).
455,Asthma,312,DB00277,theophylline,cat,review,False,,,https://todaysveterinarypractice.com/respiratory-medicine/asthma-in-cats-management-guidelines/,Asthma in Cats: Management Guidelines (Today's Veterinary Practice),Oral methylxanthines (theophylline) are commonly used as maintenance bronchodilator therapy in feline asthma; dosing based on lean body mass.
455,Asthma,73,DB01222,budesonide,cat,prospective_trial,False,,,https://todaysveterinarypractice.com/respiratory-medicine/asthma-in-cats-management-guidelines/,Asthma in Cats: Management Guidelines (Today's Veterinary Practice),"A study of inhaled budesonide (400 ug q12h) in cats improved clinical signs and reduced airflow limitation, supporting it as an alternative inhaled corticosteroid for feline asthma."
456,"Dermatitis, Atopic",38,DB00864,tacrolimus,dog,guideline,True,26276051,https://pubmed.ncbi.nlm.nih.gov/26276051/,https://pmc.ncbi.nlm.nih.gov/articles/PMC4537558/,ICADA 2015 updated guidelines for treatment of canine atopic dermatitis (Olivry et al.),"ICADA guidelines recommend topical tacrolimus to control localized atopic dermatitis lesions in dogs, of particular value where glucocorticoid-induced skin atrophy is a concern."
457,Breast Neoplasms,18,DB00997,doxorubicin,cat,prospective_trial,False,19175730,https://pubmed.ncbi.nlm.nih.gov/19175730/,https://everycat.org/cat-health/treatment-of-feline-mammary-cancer-2/,"McNeill et al. JVIM 2009 (adjuvant doxorubicin, feline mammary carcinoma) + EveryCat review","Doxorubicin-based chemotherapy is the predominant protocol evaluated for feline mammary carcinoma, with ~50% objective response reported in macroscopic/metastatic disease, though a survival benefit in the adjuvant setting is debated."
458,Brain Neoplasms,247,DB00853,temozolomide,dog,case_series,False,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9414206/,"Vet Sciences 2022 retrospective, canine intracranial glioma","Adjuvant temozolomide after surgical debulking was well tolerated in dogs with histologically confirmed intracranial glioma (MST 240 days); an accepted BBB-penetrant alkylating chemo option, especially where radiotherapy is unavailable."
459,Osteoarthritis,435,DB00915,amantadine,dog,RCT,False,18289289,https://pubmed.ncbi.nlm.nih.gov/18289289/,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1939-1676.2007.0014.x,JVIM 2008 (Lascelles et al),Randomized blinded placebo-controlled trial: adding amantadine to meloxicam improved physical activity in dogs with NSAID-refractory osteoarthritis pain.
459,Osteoarthritis,487,DB00193,tramadol,cat,RCT,False,28403198,https://pubmed.ncbi.nlm.nih.gov/28403198/,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0175565,PLoS ONE 2017 (Monteiro et al),Randomized blinded placebo-controlled crossover trial: tramadol 3 mg/kg PO q12h increased peak vertical force and night-time activity in cats with naturally occurring osteoarthritis.
459,Osteoarthritis,35,DB00996,gabapentin,cat,RCT,False,30110208,https://pubmed.ncbi.nlm.nih.gov/30110208/,https://avmajournals.avma.org/view/journals/javma/253/5/javma.253.5.579.xml,JAVMA 2018 (Guedes et al),Blinded placebo-controlled randomized crossover trial in geriatric osteoarthritic cats: owner-assessed mobility improved on gabapentin 10 mg/kg q12h; a widely used adjunct for feline OA pain.
460,"Arthritis, Rheumatoid",25,DB00091,cyclosporine,dog,RCT,False,,,https://avmajournals.avma.org/view/journals/javma/248/4/javma.248.4.395.xml,JAVMA 2016 (Rhoades et al),"Randomized trial in dogs with primary immune-mediated (rheumatoid-type) polyarthritis: cyclosporine 5 mg/kg PO q12h achieved 70% treatment success, comparable to prednisone, as a steroid-sparing alternative."
461,"Diabetes Mellitus, Type 2",801,DB00284,acarbose,cat,prospective_trial,False,12765629,https://pubmed.ncbi.nlm.nih.gov/12765629/,https://pubmed.ncbi.nlm.nih.gov/12765629/,J Feline Med Surg 2003 (Mazzaferro et al),Clinical study of client-owned diabetic cats: the alpha-glucosidase inhibitor acarbose 12.5 mg/cat PO q12h with a low-carbohydrate diet improved glycemic control and eliminated exogenous insulin need in responders (feline diabetes is type 2-like).
464,Multiple Myeloma,203,DB00291,chlorambucil,dog,review,False,,,https://www.dvm360.com/view/overview-multiple-myeloma-dogs-and-cats,dvm360 review (Multiple myeloma in dogs and cats),Veterinary oncology reviews describe chlorambucil as an oral alkylating-agent alternative to melphalan (used alone or combined with melphalan) for canine multiple myeloma.
465,Peptic Ulcer,321,DB00213,pantoprazole,dog/cat,guideline,True,30378711,https://pubmed.ncbi.nlm.nih.gov/30378711/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6271318/,"ACVIM Consensus, JVIM 2018 (Marks et al)","ACVIM consensus names PPIs as standard of care for gastroduodenal ulceration/erosion in dogs and cats; pantoprazole is the injectable PPI option and significantly suppressed gastric acid in dogs (Bersenas 2005, AJVR)."
465,Peptic Ulcer,465,DB00736,esomeprazole,dog,prospective_trial,True,32020689,https://pubmed.ncbi.nlm.nih.gov/32020689/,https://pubmed.ncbi.nlm.nih.gov/32020689/,JVIM 2020 (Kuhl et al),Prospective crossover study in dogs: IV esomeprazole 1 mg/kg q12h achieved target gastric acid suppression; PPIs are recommended as standard of care for ulcer/erosion by the ACVIM consensus.
465,Peptic Ulcer,319,DB00929,misoprostol,dog,prospective_trial,False,7891360,https://pubmed.ncbi.nlm.nih.gov/7891360/,https://pubmed.ncbi.nlm.nih.gov/7891360/,JVIM 1995 (Johnston et al),Prospective controlled study: misoprostol 3 ug/kg PO q8h prevented aspirin-induced gastroduodenal lesions in dogs; ACVIM consensus confirms efficacy against NSAID/aspirin-induced gastric injury.
466,"Glaucoma, Open-Angle",451,DB01194,brinzolamide,dog/cat,review,True,,,https://www.merckvetmanual.com/pharmacology/systemic-pharmacotherapeutics-of-the-eye/treatment-of-glaucoma-in-animals,Merck Vet Manual / VETgirl CE,Topical carbonic anhydrase inhibitor shown to effectively lower intraocular pressure in dogs and cats; standard medical glaucoma therapy (same class as labeled dorzolamide).
466,"Glaucoma, Open-Angle",433,DB00287,travoprost,dog,review,True,,,https://vetgirlontherun.com/medical-options-for-the-treatment-of-canine-glaucoma-vetgirl-veterinary-continuing-education-blog/,VETgirl CE (canine glaucoma),"Prostaglandin F2-alpha analog shown effective at lowering IOP in dogs (same first-line class as labeled latanoprost); dogs respond, cats poorly."
466,"Glaucoma, Open-Angle",422,DB00905,bimatoprost,dog,review,True,,,https://vetgirlontherun.com/medical-options-for-the-treatment-of-canine-glaucoma-vetgirl-veterinary-continuing-education-blog/,VETgirl CE (canine glaucoma),"Prostaglandin analog documented to be effective for IOP reduction in the dog, used as topical glaucoma therapy."
467,"Lupus Erythematosus, Cutaneous",38,DB00864,tacrolimus,dog,RCT,True,,,https://symbiosisonlinepublishing.com/veterinary-sciences/veterinary-sciences25.php,"SOJ Vet Sci 2017 (Messinger, RCT)",Randomized double-blind placebo-controlled crossover: 0.03% tacrolimus ointment improved canine discoid lupus in 72% vs 17% placebo (p=0.008).
467,"Lupus Erythematosus, Cutaneous",540,DB01611,hydroxychloroquine,dog,case_series,False,21718370,https://pubmed.ncbi.nlm.nih.gov/21718370/,https://pubmed.ncbi.nlm.nih.gov/21718370/,Vet Dermatol 2012 (Oberkirchner),Generalized variant of canine discoid lupus erythematosus successfully treated with oral hydroxychloroquine.
467,"Lupus Erythematosus, Cutaneous",129,DB00759,tetracycline,dog,case_series,False,25955142,https://pubmed.ncbi.nlm.nih.gov/25955142/,https://pubmed.ncbi.nlm.nih.gov/25955142/,Vet case report 2015,Generalized canine discoid lupus erythematosus responded to tetracycline-and-niacinamide immunomodulatory therapy.
467,"Lupus Erythematosus, Cutaneous",178,DB02701,niacinamide,dog,case_series,False,25955142,https://pubmed.ncbi.nlm.nih.gov/25955142/,https://pubmed.ncbi.nlm.nih.gov/25955142/,Vet case report 2015,Component of the tetracycline/niacinamide combination that induced remission of generalized canine discoid lupus erythematosus.
470,Pemphigus,203,DB00291,chlorambucil,cat,review,True,,,https://www.vetsmall.theclinics.com/article/S0195-5616(24)00114-1/abstract,Vet Clin North Am Small Anim 2024 (PF update),Preferred steroid-sparing immunosuppressant for feline pemphigus foliaceus refractory to glucocorticoids (azathioprine is contraindicated in cats).
470,Pemphigus,579,DB00688,mycophenolate,dog,review,False,,,https://www.vetsmall.theclinics.com/article/S0195-5616(24)00114-1/abstract,Vet Clin North Am Small Anim 2024 (PF update),Mycophenolate mofetil is a recognized low-risk steroid-sparing adjuvant for canine pemphigus foliaceus.
473,Urinary Bladder Neoplasms,486,DB00441,gemcitabine,dog,prospective_trial,False,21492043,https://pubmed.ncbi.nlm.nih.gov/21492043/,https://pubmed.ncbi.nlm.nih.gov/21492043/,JAVMA 2011 (Marconato),Prospective trial of gemcitabine plus piroxicam in 38 dogs with transitional cell carcinoma of the urinary bladder; well tolerated with antitumor activity.
474,Anxiety Disorders,35,DB00996,gabapentin,cat,RCT,True,29099247,https://pubmed.ncbi.nlm.nih.gov/29099247/,https://pubmed.ncbi.nlm.nih.gov/29099247/,JAVMA 2017 (van Haaften),Blinded crossover RCT: single pre-appointment 100 mg gabapentin dose significantly reduced stress/anxiety signs in cats during transport and veterinary exam.
474,Anxiety Disorders,113,DB00230,pregabalin,cat,RCT,True,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9913435/,Animals 2023 (Bonqat field study),Randomized double-blind placebo-controlled multicenter field study: pregabalin oral solution reduced anxiety/fear in cats during transport and vet visits (EU-approved indication).
474,Anxiety Disorders,194,DB01104,sertraline,dog,review,False,,,https://avmajournals.avma.org/view/journals/javma/259/10/javma.20.10.0602.xml,JAVMA 2021 (separation anxiety review),SSRI used for canine generalized and separation anxiety and thunderstorm/noise-related fear at 1-3 mg/kg q24h.
474,Anxiety Disorders,286,DB00715,paroxetine,dog,review,False,,,https://avmajournals.avma.org/view/journals/javma/259/10/javma.20.10.0602.xml,JAVMA 2021 (separation anxiety review),"SSRI used for canine generalized anxiety and anxiety-related behaviors (noise fear, self-mutilation) at 1-2 mg/kg q24h."
474,Anxiety Disorders,513,DB00404,alprazolam,dog,review,False,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705068/,Animals 2023 (canine noise fears review),Benzodiazepine of choice for situational/panic canine anxiety such as firework and noise phobia (reported effectiveness ~90% for firework fears).
475,"Anemia, Hemolytic, Autoimmune",143,DB00758,clopidogrel,dog,guideline,True,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/jvim.15463,JVIM 2019 (ACVIM IMHA consensus),ACVIM 2019 consensus recommends clopidogrel (10 mg/kg PO load then 2 mg/kg/day) as antithrombotic prophylaxis in dogs with nonassociative IMHA.
476,Aspergillosis,159,DB00257,clotrimazole,dog,case_series,True,12243272,https://pubmed.ncbi.nlm.nih.gov/12243272/,https://pubmed.ncbi.nlm.nih.gov/12243272/,"PubMed 2002 (canine nasal aspergillosis, topical clotrimazole)","Topical 1% clotrimazole nasal/sinus infusion is an established treatment for canine sinonasal aspergillosis, with case series reporting ~86% response."
476,Aspergillosis,96,DB01263,posaconazole,dog,case_series,False,,,https://onlinelibrary.wiley.com/doi/10.1111/jvim.13795,"JVIM 2016 (Corrigan et al., 10 dogs)",Corrigan et al. 2016 JVIM case series treated 10 dogs with disseminated aspergillosis using posaconazole.
479,Hypoparathyroidism,85,DB01070,dihydrotachysterol,dog/cat,review,True,,,https://www.merckvetmanual.com/musculoskeletal-system/dystrophies-associated-with-calcium-phosphorus-and-vitamin-d/hypoparathyroidism-in-dogs,Merck Vet Manual (Hypoparathyroidism in Dogs),Merck Vet Manual lists dihydrotachysterol as a rapid-onset vitamin D analogue for maintaining serum calcium in dogs/cats with hypoparathyroidism.
479,Hypoparathyroidism,92,DB00153,ergocalciferol,dog/cat,review,True,,,https://www.merckvetmanual.com/musculoskeletal-system/dystrophies-associated-with-calcium-phosphorus-and-vitamin-d/hypoparathyroidism-in-dogs,Merck Vet Manual (Hypoparathyroidism in Dogs),Merck Vet Manual gives ergocalciferol (vitamin D2) loading/maintenance dosing for hypoparathyroidism in dogs and cats.
480,Heart Failure,197,DB00214,torasemide,dog,RCT,True,28975664,https://pubmed.ncbi.nlm.nih.gov/28975664/,https://pubmed.ncbi.nlm.nih.gov/28975664/,"JVIM 2017 (TEST study, Chetboul)","TEST study (366 dogs, randomized) found torasemide q24h non-inferior and superior on cardiac endpoint to furosemide for CHF from degenerative mitral valve disease."
481,Osteosarcoma,55,DB00282,pamidronate,dog,prospective_trial,False,17552447,https://pubmed.ncbi.nlm.nih.gov/17552447/,https://pubmed.ncbi.nlm.nih.gov/17552447/,JVIM 2007 (Fan et al.),"Prospective study of 43 dogs with appendicular osteosarcoma: single-agent IV pamidronate with an NSAID gave durable bone-pain relief in a subset (12/43, median 231 days)."
481,Osteosarcoma,54,DB00399,zoledronic acid,dog,prospective_trial,False,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9857128/,Vet Med Sci 2023 phase II (Smith et al.),Amino-bisphosphonate commonly used for palliation of cancer-induced bone pain in dogs with osteosarcoma; evaluated in a canine phase II osteosarcoma trial and case reports of appendicular OSA.
485,Cryptococcosis,31,DB01167,itraconazole,dog/cat,prospective_trial,True,17092323,https://pubmed.ncbi.nlm.nih.gov/17092323/,https://pubmed.ncbi.nlm.nih.gov/17092323/,Aust Vet J 2006 (O'Brien et al.),First-line oral azole in long-term outcome study of 59 cats and 11 dogs with cryptococcosis; majority of cats cured (fluconazole or itraconazole).
485,Cryptococcosis,140,DB01099,flucytosine,cat,guideline,True,,,https://www.abcdcatsvets.org/guideline-for-cryptococcosis-in-cats/,ABCD Cryptococcosis in Cats guideline,"For feline CNS/ocular/disseminated cryptococcosis, amphotericin B combined with flucytosine is the guideline first choice; cats tolerate flucytosine (relatively contraindicated in dogs, so cat-only)."
486,"Mycobacterium Infections, Nontuberculous",220,DB01045,rifampicin,cat,review,True,,,https://www.sciencedirect.com/science/article/abs/pii/S1090023314000689,JFMS feline mycobacterial infections review (Gunn-Moore),Core component of the recommended feline mycobacteriosis regimen (rifampicin + clarithromycin/azithromycin + fluoroquinolone); rifampicin 10-15 mg/kg/day is part of optimal feline leprosy combination therapy.
486,"Mycobacterium Infections, Nontuberculous",442,DB00845,clofazimine,cat,case_series,True,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10829152/,JFMS Feline Leprosy review (Malik) / WSAVA,"Clofazimine (25-50 mg/cat) has the best reported success rate for feline leprosy (M. lepraemurium), used in combination with clarithromycin or rifampicin, with cured case reports."
487,Cushing Syndrome,349,DB01108,trilostane,dog,guideline,True,,,https://todaysveterinarypractice.com/pharmacology/trilostane-for-dogs-with-hyperadrenocorticism/,Today's Veterinary Practice (trilostane for canine HAC),"Trilostane (3-beta-HSD inhibitor, FDA-approved Vetoryl) is the current first-line treatment of choice for canine pituitary-dependent and adrenal-dependent hyperadrenocorticism."
487,Cushing Syndrome,80,DB01037,selegiline,dog,prospective_trial,False,9076907,https://pubmed.ncbi.nlm.nih.gov/9076907/,https://pubmed.ncbi.nlm.nih.gov/9076907/,Vet Clin North Am 1997 (Bruyette et al.),"Selegiline (l-deprenyl, Anipryl) is the only FDA-approved drug for canine pituitary-dependent hyperadrenocorticism; clinical/endocrinologic improvement reported in ~83% of dogs, though efficacy is debated and it is not first-line."
489,"Diabetes Insipidus, Neurogenic",363,DB00880,chlorothiazide,dog/cat,review,False,,,https://www.merckvetmanual.com/pharmacology/systemic-pharmacotherapeutics-of-the-urinary-system/pharmacotherapeutics-in-diabetes-insipidus-in-animals,Merck Veterinary Manual,"Merck Vet Manual states thiazide diuretics (eg, chlorothiazide) may decrease polyuria by 30-50% in dogs/cats with central (neurogenic) or nephrogenic diabetes insipidus, as an adjunct/alternative to desmopressin."
490,Histoplasmosis,393,DB00196,fluconazole,cat,case_series,True,22736675,https://pubmed.ncbi.nlm.nih.gov/22736675/,https://journals.sagepub.com/doi/full/10.1177/1098612X12452494,Reinhart et al 2012 J Feline Med Surg,Retrospective study of 32 cats with confirmed histoplasmosis found fluconazole a viable first-line alternative to itraconazole with similar mortality/recrudescence.
490,Histoplasmosis,265,DB00582,voriconazole,cat,case_series,False,37524351,https://pubmed.ncbi.nlm.nih.gov/37524351/,https://avmajournals.avma.org/view/journals/javma/261/11/javma.23.05.0276.xml,Easterwood et al 2023 JAVMA,Oral voriconazole in 6 cats with histoplasmosis produced remission in all 6 with only mild side effects.
490,Histoplasmosis,27,DB00681,amphotericin B,dog/cat,review,True,,,https://miravistavets.com/fungal-diseases/histoplasma/review-treatment-of-histoplasmosis/,MiraVista Treatment of Histoplasmosis in Dogs and Cats; ABCD guideline,Amphotericin B (alone or with an azole) is the recommended induction therapy for severe/disseminated histoplasmosis in dogs and cats per veterinary treatment reviews and the ABCD feline guideline.
492,Leishmaniasis,854,DB09031,miltefosine,dog,guideline,True,21599936,https://pubmed.ncbi.nlm.nih.gov/21599936/,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-4-86,LeishVet guidelines 2011 (Solano-Gallego et al); WAVD consensus 2025,Miltefosine (2 mg/kg PO q24h x28d) combined with allopurinol is a recommended first-line leishmanicidal protocol for canine leishmaniosis in the LeishVet and WAVD consensus guidelines.
494,"Cholestasis, Intrahepatic",0,DB00860,prednisolone,cat,case_series,True,22840210,https://pubmed.ncbi.nlm.nih.gov/22840210/,https://pubmed.ncbi.nlm.nih.gov/22840210/,Otte et al 2013 Vet J,Retrospective comparison in 26 cats with lymphocytic cholangitis (an intrahepatic cholestatic disease) showed prednisolone gave significantly longer survival than ursodeoxycholic acid; first-line immunosuppressive per MSD Vet Manual.
496,Adrenal Cortex Neoplasms,349,DB01108,trilostane,dog,prospective_trial,True,,,https://academic.oup.com/jvim/article/34/4/1413/8448288,JVIM / MSD Vet Manual,"Trilostane is standard medical management of canine hyperadrenocorticism and controls clinical signs in dogs with functional adrenocortical tumors, including cases with metastasis."
497,Hemangiosarcoma,34,DB00541,vincristine,dog,case_series,False,1920253,https://pubmed.ncbi.nlm.nih.gov/1920253/,https://pubmed.ncbi.nlm.nih.gov/1920253/,JVIM 1991 (Hammer),Vincristine is a component of the VAC (vincristine/doxorubicin/cyclophosphamide) adjuvant protocol in dogs with hemangiosarcoma; splenic-HSA median survival 145 d vs 19-65 d with surgery alone.
497,Hemangiosarcoma,121,DB00851,dacarbazine,dog,case_series,False,25623994,https://pubmed.ncbi.nlm.nih.gov/25623994/,https://pubmed.ncbi.nlm.nih.gov/25623994/,Vet Comp Oncol 2017 (Finotello),Doxorubicin-dacarbazine (ADTIC) adjuvant chemotherapy for canine hemangiosarcoma gave longer time-to-metastasis and survival than doxorubicin-cyclophosphamide and was well tolerated.
499,"Cardiomyopathy, Hypertrophic, Familial",173,DB00695,furosemide,cat,guideline,True,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7255676/,"ACVIM consensus, JVIM 2020",Furosemide is the ACVIM-recommended primary diuretic for congestive heart failure secondary to feline hypertrophic cardiomyopathy (stage C).
499,"Cardiomyopathy, Hypertrophic, Familial",153,DB00335,atenolol,cat,guideline,False,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7255676/,"ACVIM consensus, JVIM 2020",The ACVIM feline cardiomyopathy consensus names atenolol (a beta-blocker) for cats with severe dynamic left-ventricular outflow tract obstruction or ventricular ectopy.
500,"Hepatitis, Autoimmune",13,DB00993,azathioprine,dog,guideline,False,30844094,https://pubmed.ncbi.nlm.nih.gov/30844094/,https://pubmed.ncbi.nlm.nih.gov/30844094/,"ACVIM consensus, JVIM 2019",The ACVIM canine chronic-hepatitis consensus recommends azathioprine as a steroid-sparing immunosuppressant combined with corticosteroids for immune-mediated chronic hepatitis in dogs (contraindicated in cats).
500,"Hepatitis, Autoimmune",25,DB00091,cyclosporine,dog,guideline,False,30844094,https://pubmed.ncbi.nlm.nih.gov/30844094/,https://pubmed.ncbi.nlm.nih.gov/30844094/,"ACVIM consensus, JVIM 2019","The ACVIM consensus lists cyclosporine as an immunosuppressive option for canine immune-mediated chronic hepatitis, used steroid-sparing or as single-agent first-line by some panelists."
500,"Hepatitis, Autoimmune",662,DB01586,ursodiol,dog,guideline,False,30844094,https://pubmed.ncbi.nlm.nih.gov/30844094/,https://pubmed.ncbi.nlm.nih.gov/30844094/,"ACVIM consensus, JVIM 2019",Ursodeoxycholic acid is recommended as an adjunctive choleretic/immunomodulatory hepatoprotectant in dogs with chronic hepatitis showing cholestasis.
501,"Leukemia, Mast-Cell",37,DB00619,imatinib,cat,case_series,False,16908071,https://pubmed.ncbi.nlm.nih.gov/16908071/,https://pubmed.ncbi.nlm.nih.gov/16908071/,Vet Immunol Immunopathol 2006,A cat with systemic mastocytosis and mastocytemia (leukemic mast cell disease) with a c-kit exon 8 ITD responded to imatinib mesylate: tumor masses undetectable and peripheral mast cells markedly reduced by 5 weeks.
